id;description;due_date;priority;completed;created_date;last_modified_date
1;rejoin baptise;2025-06-17;MEDIUM;true;2025-06-17T13:35:05;2025-06-17T12:10:06
2;after corny;2025-06-17;HIGH;true;2025-06-17T10:41:59;2025-06-17T16:14:53
3;phooey like;2025-06-17;MEDIUM;true;2025-06-17T22:10:24;2025-06-17T04:14:15
4;yeast;2025-06-17;HIGH;true;2025-06-18T00:30:01;2025-06-17T21:30:38
5;qua;2025-06-17;MEDIUM;false;2025-06-17T17:50:50;2025-06-18T00:37:58
6;above uh-huh failing;2025-06-18;LOW;true;2025-06-17T12:57:50;2025-06-17T06:59:27
7;hm fluffy;2025-06-17;MEDIUM;true;2025-06-17T07:10:12;2025-06-17T23:09:38
8;strident;2025-06-17;LOW;false;2025-06-17T03:09:52;2025-06-17T16:11:35
9;official afore;2025-06-17;HIGH;false;2025-06-18T01:33:26;2025-06-17T02:12:03
10;inwardly as;2025-06-17;HIGH;false;2025-06-17T14:01:20;2025-06-17T07:41:08
